City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,guercif,34.2257,-3.3536,28.75,27,99,3.39,MA,1697479459
190,tolanaro,-25.0319,46.9987,23.04,73,75,0.0,MG,1697479460
191,ciudad bolivar,8.1222,-63.5497,33.28,47,100,0.91,VE,1697479460
192,hassi messaoud,31.6804,6.0729,31.92,12,20,1.54,DZ,1697479460
193,cill airne,52.05,-9.5167,11.03,82,20,3.6,IE,1697479332
194,georgetown,5.4112,100.3354,26.96,89,20,1.03,MY,1697479392
195,ust-tsilma,65.441,52.1498,5.9,81,90,4.47,RU,1697479461
196,dondo,-19.6094,34.7431,23.73,92,98,3.79,MZ,1697479461
197,pradopolis,-21.3594,-48.0656,35.1,32,29,2.75,BR,1697479462
198,selfoss,63.9331,-20.9971,5.58,75,92,1.01,IS,1697479462
199,van,38.4924,43.3831,12.41,63,51,1.97,TR,1697479331
200,laguna,38.421,-121.4238,27.23,51,0,2.06,US,1697479463
201,magadan,59.5667,150.8,2.52,66,100,1.34,RU,1697479463
202,san carlos de bariloche,-41.1456,-71.3082,12.86,26,0,5.66,AR,1697479218
203,punta arenas,-53.15,-70.9167,12.06,50,75,12.35,CL,1697479464
204,orange city,28.9489,-81.2987,22.35,56,40,6.69,US,1697479464
205,malayer,34.2969,48.8235,14.0,54,39,3.27,IR,1697479465
206,keflavik,64.0049,-22.5624,5.95,81,75,3.09,IS,1697479465
207,piti village,13.4626,144.6933,27.49,88,0,1.54,GU,1697479465
208,qaqortoq,60.7167,-46.0333,1.85,99,100,2.11,GL,1697479466
209,atafu village,-8.5421,-172.5159,28.27,79,100,8.95,TK,1697479466
210,pacific grove,36.6177,-121.9166,23.14,81,26,3.13,US,1697479320
211,lesozavodsk,45.4794,133.4244,2.2,48,77,4.22,RU,1697479467
212,san luis de la loma,17.2706,-100.8939,30.04,74,98,2.34,MX,1697479467
213,tazovsky,67.4667,78.7,-0.41,97,100,2.5,RU,1697479467
214,new norfolk,-42.7826,147.0587,4.72,95,8,1.48,AU,1697479359
215,muynoq,43.7683,59.0214,12.04,38,0,5.27,UZ,1697479468
216,amungan,15.3652,119.9582,25.28,77,98,3.3,PH,1697479468
217,springbok,-29.6643,17.8865,19.32,30,0,1.46,ZA,1697479468
218,hadibu,12.65,54.0333,27.68,74,71,2.85,YE,1697479468
219,ulaangom,49.9811,92.0667,4.06,44,32,1.8,MN,1697479468
220,fale old settlement,-9.3852,-171.2468,28.38,76,100,9.83,TK,1697479469
221,multai,21.7667,78.25,21.35,70,16,0.4,IN,1697479469
222,mingshui,36.7167,117.5,15.89,53,0,3.14,CN,1697479469
223,illizi,26.4833,8.4667,32.89,20,34,4.9,DZ,1697479469
224,nanping,26.645,118.1736,16.0,88,1,1.07,CN,1697479469
225,acarau,-2.8856,-40.12,29.61,61,25,9.39,BR,1697479470
226,hammerfest,70.6634,23.6821,2.25,80,75,5.66,NO,1697479470
227,halifax,44.6453,-63.5724,13.61,83,100,6.69,CA,1697478967
228,kruisfontein,-34.0033,24.7314,14.78,88,25,4.42,ZA,1697479327
229,praia da vitoria,38.7333,-27.0667,22.09,78,20,8.83,PT,1697479471
230,port-gentil,-0.7193,8.7815,27.98,74,75,7.72,GA,1697479472
231,al jawf,29.5,38.75,21.64,34,0,4.56,SA,1697479472
232,murang'a,-0.7167,37.15,19.58,79,100,0.96,KE,1697479472
233,port macquarie,-31.4333,152.9167,11.61,60,15,7.07,AU,1697479472
234,barcelos,41.5388,-8.6151,23.08,84,87,4.37,PT,1697479425
235,nar'yan-mar,67.6713,53.087,3.95,93,95,5.81,RU,1697479473
236,basco,20.4487,121.9702,27.15,77,72,8.89,PH,1697479473
237,port lincoln,-34.7333,135.8667,11.13,76,9,4.83,AU,1697479473
238,crane,31.3974,-102.3501,20.36,31,0,2.31,US,1697479474
239,whitehorse,60.7161,-135.0538,-0.57,100,100,1.54,CA,1697479335
240,puerto el triunfo,13.2833,-88.55,26.18,87,100,1.47,SV,1697479474
241,new plymouth,-39.0667,174.0833,16.0,94,94,8.26,NZ,1697479475
242,oakland,42.6667,-83.3999,12.05,87,100,7.2,US,1697479387
243,neelankarai,12.9455,80.2575,28.91,94,75,1.54,IN,1697479475
244,saldanha,-33.0117,17.9442,23.03,81,35,4.39,ZA,1697479475
245,san antonio de pale,-1.4014,5.6325,25.86,80,92,5.77,GQ,1697479475
246,lebu,-37.6167,-73.65,12.41,68,0,9.32,CL,1697479476
247,hotan,37.0997,79.9269,16.8,19,100,2.51,CN,1697479476
248,xinyuan,37.3,99.0,-2.82,80,100,2.94,CN,1697479476
249,novyye burasy,52.1324,46.0714,13.14,70,58,7.95,RU,1697479476
